citatid;politikerid;citat
1;1;"Jeg går ikke op i; hvilken tandpasta det skal være. Nogle gange bruger jeg bare håndsæbe."
2;1;"Magtens sødme er det krydderi; som giver den bedste smag; når man skal sluge en kamel"
3;6;"Jeg går en tur; spontant så skider jeg i mine bukser. Det er også et uheld"
4;7;For mig handler politik ikke alene om politik. Det handler lige så meget om: showbiz!
5;8;"The water; it makes the frogs gay!"
6;8;"If Bill Gates goes on live TV; puts a shotgun in his mouth and blows his brains out - the very next day; I'll do the same"
7;9;Ikke alle skal overleve en grøn omstilling
8;10;"Børn gør det ikke altid så godt; de kan"
9;11;(...) der skal nok komme konfrontationer. Man hedder jo ikke Auken for ingenting.
10;12;"Hvorfor mon det lige præcis er min flytning; de går op i? Er de bange for; at Frie Grønne kommer ind?"
11;12;Sikandar rimer på panda
12;15;Når jeg siger trawl så siger I fri! TRAWL!
13;18;Smid nu for pokker kriminelle udlændinge ud ved første dom.
14;18;"Jeg vil hellere have en lavtlønnet filippinsk kvinde til landet; som opdrager sine børn til at blive danske; end jeg vil have en veluddannet muslimsk imam"
15;3;Lev med det
16;4;Ingen i Liberal Alliance anser kvinder som fødemaskine
17;1;"En sjælden gang kan jeg godt ryge i sengen; hvis jeg har halsbetændelse eller er syg"
18;1;"Svaret er lige så kedeligt; som det er sandt: Fordi der ikke var flertal for det!"
19;2;"Jeg ærgrer mig stadig over; at jeg havde nogle skøre holdninger"
20;3;Pligter er vigtigere end rettigheder.
21;5;"Det kan godt være; de andre partier har store busser. Men vi har krammetræer"
22;13;"Jeg har besluttet nu; at jeg har tavshedspligt; og den vælger jeg at følge."
23;16;"Jeg synes Hadsund er en dejlig by; og den har alt"
24;16;"Min opfordring til dem er; at de skal fise hjem til de taberlande; hvor deres holdninger deles."
25;16;"(...) man kan jo ikke vide; om der kommer Al-Qaeda-folk ind ad bagdøren – ja faktisk ad fordøren – fordi de kan påberåbe sig asyl"
26;17;"Det er enormt sundt for politik; at der er sådan nogle som mig; der ikke behøver at være bange for at ryge ud."
27;19;Lad os mødes på midten
28;3;"Vi skal aflive den sejlivede myte; at det at gå på arbejde skal være lystbetonet"
29;20;"Jeg tager det som et udtryk for; at der er nogle forskere; der lever i en forskerverden. Politiet og i øvrigt mig selv lever i den virkelige verden"
30;1;"Vi har skiftet standpunkt; ikke holdning"
31;14;"Hvordan i alverden kan du konkludere; hvilke stoffer; der er i vores regnvand og i vores havmiljø; og hvor de kommer fra?"
32;20;"Når nu vi alligevel skal til at have en masse raske unge mænd i trøjen for at ruste os mod russere og kinesere; kunne man så i stedet sige: ""Du får valget mellem at afsone to måneder i fængsel eller at tage otte-ni måneders værnepligt i en form; samfundet har brug for"""
33;5;Skal de fattige bare have lov til at være usunde?
34;21;"Jeg er vild med Oasis; Pink Floyd og Chopin. Jeg har læst alle Hemingways romaner. Jeg går i operaen og ser fodbold."
35;21;"Når man er en skaldet mand med et lidt stort hoved; så ligner man en hængt ananas; hvis man har slips på for meget"
36;21;"Jeg har lært; hvordan man ikke skal opføre sig; når tingene bliver svære."
