maerkesagid;maerkesag;fordelingsscore;vaerdiscore
1;Lavere skat;0,9125;0,375
2;Bred regering over midten;0,1;0
3;EU-samarbejde og internationalt udsyn;0,1;-0,2
4;Klima og grøn omstilling;-0,293333333;-0,606666667
5;Økonomisk demokrati og fælleseje;-1;-0,4
6;Højere skat på de rigeste;-1;-0,35
7;Offentlig velfærd;-0,7;-0,275
8;Billige boliger og boligpolitik;-0,8;-0,45
9;Stram udlændingepolitik;0,025;0,7875
10;Tidlig pension for nedslidte;-0,7;0
11;Styrket forsvar og NATO-samarbejde;0,15;0,55
12;Arbejde, pligt og social sammenhængskraft;0,066666667;0,466666667
13;Mindre stat og bureaukrati;0,88;0,36
14;Personlig frihed;0,7;-0,7
15;Frit valg i velfærden;0,8;0
16;Retsstat og begrænsning af politisk magt;0,5;-0,4
17;Børn og trivsel;-0,7;-0,5
18;Ligeløn og mindre ulighed;-0,85;-0,6
19;Ældre og velfærd;-0,34;0,32
20;Natur, biodiversitet og rent drikkevand;-0,433333333;-0,8
21;Borgerinddragelse og demokratisk fornyelse;0,15;-0,425
22;Kritik af offentligt ressourcespild;0,75;0,2
23;EU-skepsis og national suverænitet;0,2;0,9
24;Danske værdier og kultur;0,2;0,9
25;Ytringsfrihed og platformspolitik;0,5;0,5
26;Anti-establishment og mediekritik;0,2;0,8
27;Våbenrettigheder;0,8;1
28;Trivsel frem for vækst;-0,5;-0,8
29;Bæredygtige byer og grøn transport;-0,3;-0,65
30;Stærk folkeskole og erhvervsuddannelse;-0,2;0,2
31;Ro og faglighed i skolen;0;0,5
32;Landbrug og grøn omstilling;0,25;-0,05
33;Fødevarepolitik og ansvarligt forbrug;-0,3;-0,6
34;Antiracisme;-0,55;-1
35;Minoritetspolitik og ligebehandling;-0,6;-1
36;Mindre ulighed;-0,933333333;-0,666666667
37;Ansvarlig økonomi og skattestop;0,7;0,3
38;Erhvervsliv, landbrug og arbejdspladser;0,7;0,4
39;Grøn omstilling af erhverv og forbrug;-0,3;-0,8
40;Uddannelse og forskning;-0,2;-0,6
41;Human udlændingepolitik og internationalt ansvar;-0,3;-0,85
42;Lov og orden;0,4;0,8
43;Familien som centralt fællesskab;0,3;0,7
44;Politik for provinsen;0,4;0,6
45;Decentralisering og lokalt selvstyre;0,5;0,2
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
