maerkesagpolitikerid;maerkesagid;politikerid
1;1;1
2;2;1
3;3;1
4;4;1
5;5;2
6;6;2
7;7;2
8;8;2
9;9;2
10;7;3
11;10;3
12;11;3
13;12;3
14;13;3
15;1;4
16;14;4
17;15;4
18;16;4
19;17;4
20;8;5
21;18;5
22;19;5
23;20;5
24;21;5
25;1;6
26;14;6
27;22;6
28;10;6
29;23;6
30;10;7
31;24;7
32;20;7
33;25;7
34;26;8
35;27;8
36;28;8
37;14;8
38;8;9
39;22;9
40;29;9
41;30;9
42;31;10
43;32;10
44;10;10
45;13;10
46;8;11
47;21;11
48;30;11
49;33;11
50;34;12
51;8;12
52;35;12
53;19;12
54;12;13
55;36;13
56;20;13
57;37;13
58;10;14
59;23;14
60;1;14
61;38;14
62;39;14
63;8;15
64;21;15
65;40;15
66;41;15
67;10;16
68;23;16
69;38;16
70;24;16
71;20;16
72;36;17
73;37;17
74;44;17
75;45;17
76;4;17
77;1;18
78;14;18
79;10;18
80;23;18
81;15;18
82;3;19
83;8;19
84;35;19
85;43;19
86;2;19
87;44;20
88;13;20
89;10;20
90;7;20
91;36;20
92;2;21
93;3;21
94;43;21
95;15;21
96;36;21
97;1;22
98;14;22
99;16;22
100;17;22
101;8;23
102;4;23
103;36;23
104;37;23
105;45;23
106;6;24
107;19;24
108;9;24
109;34;24
110;5;24
