partiid;parti;oprettet;
1;Moderaterne;05/06/2022;
2;Venstre;12/02/1905;
3;SF;15/02/1959;
4;Socialdemokratiet;13/02/1905;
5;Dansk Folkeparti;17/06/1905;
6;Enhedslisten;02/12/1989;
7;Borgernes Parti;16/07/1905;
8;Liberal Alliance;07/05/2007;
9;Alternativet;27/11/2013;
10;Radikale Venstre;21/05/1905;
11;Det Konservative Folkeparti;22/02/1916;
12;Frie Grønne;20/04/2020;
13;Danmarksdemokraterne;23/06/2022;
14;Løsgænger;00/01/1900;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
