skandaleid;politikerid;beskrivelse
1;1;"Købt tøj; primært underbukser; for 152.000 kr på Venstres regning"
2;1;Modtaget donationer fra kvotekonger til Løkkefonden
3;2;"Udøvet politisk hærværk; idømt 30 dages ubetinget fængsel"
4;3;Minksagen
5;3;SMS-sagen efter minksagen
6;4;Har boet uretmæssigt i en gratis folketingsbolig i København
7;4;"Har taget kokain som partileder; men kun en eller to gange"
8;6;"Modtager største formandstillæg i folketinget; men er formand for den absolut mindste gruppe"
9;6;Sammenlignet menstruation med at skide i bukserne
10;7;Har heilet og sunget nazisange på familierestaurant i Tivoli
11;12;Skrev selv på facebook at han fuskede med sin adresse for at blive opstillingsparat i København
12;13;Kendt som Trolex efter han fik et Rolex af en oliesheik
13;13;Spredt rygter om at Helle Thornings mand var homoseksuel
14;14;Mødt op til mindehøjtidelighed iført Venstre tøj og delt merch ud
15;7;"Svindlet med EU-penge som han brugte på sit eget DF-sommermøde; plus lidt dokumentfalsk"
16;12;Bankede på Laura Lindahls dør og vindue og ringede til hende 14 gange i løbet af en brandert (gift siden 2013)
17;1;Har mere end én gang forsøgt at købe sig til mandater af tidligere partifæller
18;1;Havde stor gæld og blev af flere eksperter vurderet 'teknisk insolvent' imens han var statsminister
19;11;"Har udført ""forsøg på skattesvig"" gennem virksomhed hun var ansat hos "
20;10;Fik som ung en dom for indbrud i en pølsevogn
21;6;"Krævede 600.000 på en fireårig kontrakt; udover sin løn som folketingsmedlem; for at være formand for Liberal Alliance; blev smidt ud samme aften"
22;16;"Gav en ordre om at udføre ulovlig adskillelse af unge asylansøgere; endte med rigsret og 60 dages fængsel"
23;16;Løj om at være uddannet journalist uden nogensinde at gå på studiet
24;18;Blev politianmeldt af sit eget parti efter hun ulovligt lukkede Nye Borgerliges folketingsgruppe
25;9;Beskyldt for falske anklager og forsøg på karaktermord overfor tidligere partifælle Theresa Scavenius
26;19;Blevet stævnet af Morten Messerschmidt for injurier
27;20;Anklaget af flere retsordfører og eksperter for at have vildledt folketinget i sag om politiets vask af sager
28;21;"Blev standset af politiet i sin bil med kokain i blodet; mistede sit arbejde og kørekort i tre år"
